date,temperature,precipitation,sunshine_hours,soil_moisture,plant_height,leaf_area_index,stem_diameter
2023-03-01,5.0,0.0,4.1,25.0,0.06,0.3,19.5
2023-03-02,5.0,10.5,4.9,28.0,,0.3,20.63
2023-03-03,5.2,27.4,2.9,36.1,0.06,0.3,21.65
2023-03-04,7.28,0.0,3.3,35.9,0.06,0.3,21.05
2023-03-05,,0.0,3.4,35.8,0.06,0.3,20.37
2023-03-06,,0.0,4.4,35.6,0.06,0.3,21.3
2023-03-07,8.38,0.3,3.8,35.5,0.12,0.3,20.66
2023-03-08,7.1,0.0,3.5,,2.17,0.3,22.82
2023-03-09,5.0,0.0,3.1,35.2,3.75,0.57,22.6
2023-03-10,7.32,,,42.7,4.53,0.45,21.58
2023-03-11,5.65,5.5,2.0,44.2,6.56,0.57,21.09
2023-03-12,5.98,0.0,,44.1,8.04,0.89,21.78
2023-03-13,7.74,0.0,3.7,43.9,8.04,0.5,22.19
2023-03-14,5.0,0.0,2.8,,,,21.69
2023-03-15,5.0,0.0,3.1,43.6,10.29,0.93,22.49
2023-03-16,7.16,0.0,2.1,43.4,10.49,0.73,22.57
2023-03-17,6.6,0.0,3.4,43.3,10.49,0.69,22.82
2023-03-18,9.6,0.0,2.0,43.1,11.45,1.18,
2023-03-19,7.5,0.0,3.2,42.9,11.45,1.17,22.62
2023-03-20,6.83,0.0,2.9,42.7,11.95,1.09,22.78
2023-03-21,12.93,0.0,2.0,,11.99,1.33,23.25
2023-03-22,9.89,0.0,3.9,42.2,11.99,1.14,23.09
2023-03-23,10.82,0.0,2.9,41.9,13.53,1.38,23.82
2023-03-24,8.18,0.0,4.5,41.7,14.1,1.3,23.58
2023-03-25,10.29,0.0,4.2,41.5,14.88,1.26,24.42
2023-03-26,,0.0,2.3,41.2,16.26,1.25,24.11
2023-03-27,9.76,7.7,2.4,43.3,16.94,1.37,24.33
2023-03-28,13.16,0.0,,43.0,18.02,1.5,24.04
2023-03-29,11.54,0.0,2.0,42.8,19.41,1.85,24.16
2023-03-30,12.5,0.0,2.7,42.5,20.64,1.85,24.89
2023-03-31,12.22,3.9,4.2,43.4,,1.85,24.14
2023-04-01,17.47,0.0,2.0,43.0,23.94,2.09,24.61
2023-04-02,14.08,9.0,3.7,45.4,25.8,2.17,24.39
2023-04-03,12.32,0.0,3.7,45.1,26.63,2.18,24.49
2023-04-04,16.42,0.0,3.5,44.8,26.84,1.93,24.22
2023-04-05,12.67,0.0,3.7,44.5,28.33,2.42,24.49
2023-04-06,15.86,,2.2,44.1,29.51,2.26,24.51
2023-04-07,11.85,9.1,3.7,46.6,31.93,2.64,25.21
2023-04-08,13.44,0.0,2.7,46.3,33.81,,25.49
2023-04-09,16.82,0.0,2.0,45.9,,2.59,25.12
2023-04-10,,3.8,3.2,46.7,36.73,2.9,25.35
2023-04-11,17.42,0.0,2.5,46.3,37.24,2.73,
2023-04-12,17.16,0.0,4.3,45.9,38.34,2.79,25.11
2023-04-13,17.11,0.8,3.0,45.8,40.03,2.97,25.87
2023-04-14,15.07,5.5,3.3,,40.03,2.98,25.88
2023-04-15,16.9,0.0,3.6,46.7,42.41,3.07,24.95
2023-04-16,17.73,0.0,3.1,,45.51,3.02,25.68
2023-04-17,21.08,0.0,3.2,45.9,45.51,3.2,25.53
2023-04-18,19.96,0.0,4.0,45.4,45.94,3.58,25.81
2023-04-19,16.05,0.0,2.5,45.1,47.71,2.9,25.79
2023-04-20,20.52,0.0,2.8,44.7,48.89,3.51,26.12
2023-04-21,19.4,0.0,2.6,44.2,50.8,3.62,26.1
2023-04-22,19.11,0.0,4.6,43.8,52.5,3.34,26.17
2023-04-23,21.98,0.0,2.9,43.4,53.49,3.52,26.84
2023-04-24,23.11,0.0,3.4,42.9,56.38,3.56,26.71
2023-04-25,23.2,3.8,3.0,43.5,58.67,4.08,26.29
2023-04-26,19.94,0.0,3.3,43.1,60.2,4.03,26.43
2023-04-27,21.28,0.0,3.0,42.6,63.43,4.16,26.93
2023-04-28,22.83,9.2,4.0,44.9,65.12,4.07,27.01
2023-04-29,24.39,0.0,2.8,44.4,,4.29,26.66
2023-04-30,21.75,0.0,2.6,43.9,68.62,4.18,26.89
2023-05-01,22.6,0.0,3.2,43.4,71.16,4.47,
2023-05-02,21.02,0.0,3.1,43.0,73.91,4.33,26.91
2023-05-03,21.1,0.0,2.7,42.5,76.84,4.35,27.99
2023-05-04,25.37,0.0,3.5,42.0,79.69,4.8,27.74
2023-05-05,26.7,0.0,2.5,,,4.61,28.07
2023-05-06,24.09,0.0,5.2,40.9,84.65,4.54,27.21
2023-05-07,26.48,0.0,2.7,40.3,86.7,4.59,27.47
2023-05-08,25.43,0.4,3.4,39.9,89.95,,27.44
2023-05-09,23.65,0.0,,39.4,92.86,5.01,28.15
2023-05-10,25.89,0.0,5.4,38.8,96.28,4.95,27.55
2023-05-11,28.46,2.2,2.7,38.9,97.73,5.34,28.14
2023-05-12,25.53,0.0,4.2,38.3,100.19,5.23,28.2
2023-05-13,28.95,2.8,5.0,38.5,104.62,5.19,27.99
2023-05-14,20.79,0.0,3.9,38.1,108.02,5.42,28.6
2023-05-15,27.87,3.4,3.3,38.5,,5.2,28.2
2023-05-16,26.6,0.0,4.2,37.9,114.87,5.06,28.57
2023-05-17,26.03,0.0,,37.4,119.72,5.27,28.11
2023-05-18,27.0,3.3,,37.8,124.44,5.52,28.1
2023-05-19,23.02,,5.5,41.8,126.34,5.49,28.75
2023-05-20,26.74,8.5,4.6,43.7,128.56,5.68,28.71
2023-05-21,28.06,16.1,5.5,47.9,130.49,5.56,28.71
2023-05-22,30.47,0.0,4.7,47.3,133.14,5.73,28.55
2023-05-23,,6.1,4.2,48.5,136.45,5.89,29.38
2023-05-24,26.22,0.0,5.9,48.0,139.94,5.68,28.39
2023-05-25,26.99,0.0,4.8,47.4,142.02,5.81,28.44
2023-05-26,29.97,0.0,4.8,46.7,143.86,5.49,
2023-05-27,28.94,0.0,5.4,46.1,146.58,5.76,29.4
2023-05-28,27.36,2.2,5.5,46.2,,5.64,29.27
2023-05-29,29.58,0.0,5.5,45.5,154.88,5.89,29.08
2023-05-30,28.87,0.0,3.8,44.9,159.6,5.94,29.47
2023-05-31,30.73,0.0,4.4,44.2,162.92,5.97,30.03
2023-06-01,,0.0,4.5,43.6,166.93,5.9,30.42
